,CR_RESP_ID,CM_MENU_ID,MENU_RESP_DESC,MENU_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG,SL_NO
241,20,990201,M. FULFILL REQUISITION,850,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
242,20,990202,M. GRN REQUISITION,851,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
243,20,990301,M. PRICE CHECK,853,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
244,20,990401,M. STOCK ADJUSTMENT,854,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
245,20,990402,M. ITEM COUNT,855,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
246,20,990403,M. INITIAL STOCK TAKE,856,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
247,20,990404,M. UPDATE SUB LOC MIN/MAX,857,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
248,20,990501,M. SALES ORDER PICK LIST,858,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
249,20,990102,M. EXT TO INT MOVEMENT,859,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
250,20,990101,M. INTERNAL MOVEMENT,860,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
251,4,700011,Stock Take Audit,872,API,nan,I,nan,2011-09-28 21:06:10,2011-09-28 21:06:10,None,1.0
252,5,3000010,Update Bin Identifier,875,API,nan,I,nan,2011-10-17 18:20:00,2011-10-17 18:20:00,None,1.0
253,20,990303,M. ITEMS IN SUB LOCATION,876,API,nan,I,nan,2011-10-17 18:20:00,2011-10-17 18:20:00,None,1.0
254,7,40005,Import Customers,906,API,nan,I,nan,2011-12-31 12:44:15,2011-12-31 12:44:15,None,1.0
255,4,700013,Sales Order Lines,899,API,nan,I,nan,2011-11-25 23:38:06,2011-11-25 23:38:06,None,1.0
256,20,990305,M.FIND SALES ORDER,900,API,nan,I,nan,2011-11-25 23:38:06,2011-11-25 23:38:06,None,1.0
257,20,990306,M. SALES ORDER QUERY,901,API,nan,I,nan,2011-11-25 23:38:06,2011-11-25 23:38:06,None,1.0
258,4,700014,Sage Export,905,API,nan,I,nan,2011-12-31 12:44:15,2011-12-31 12:44:15,None,1.0
259,4,700015,Sales Invoice Lines,907,API,nan,I,nan,2011-12-31 12:44:15,2011-12-31 12:44:15,None,1.0
260,6,511,Purchase Order (Internal Usage),824,API,nan,I,nan,2011-02-20 18:04:10,2011-02-20 18:04:10,None,10.0
261,4,700007,Intra Trade  Statistics,829,API,nan,I,nan,2011-03-17 22:07:02,2011-03-17 22:07:02,None,1.0
262,7,40004,Import Sales Orders,861,API,nan,I,nan,2011-09-10 11:25:52,2011-09-10 11:25:52,None,98.0
263,5,3000009,Barcode Repository,862,API,nan,I,nan,2011-09-10 11:25:52,2011-09-10 11:25:52,None,1.0
264,5,379,Style / Design / Pattern,924,API,nan,I,nan,2012-03-01 21:44:12,2012-03-01 21:44:12,None,1.0
265,20,990307,M.SPACE CHECK,934,API,nan,I,nan,2012-03-18 18:34:35,2012-03-18 18:34:35,None,1.0
266,4,700016,Item Freights,962,API,nan,I,nan,2012-07-21 13:49:07,2012-07-21 13:49:07,None,1.0
267,5,3000004,Bill Of Materials,814,API,nan,I,nan,2010-12-29 11:16:10,2010-12-29 11:16:10,None,1.0
268,5,3000005,Markup Template,815,API,nan,I,nan,2010-12-29 11:16:10,2010-12-29 11:16:10,None,1.0
269,12,418,Sales Invoice,817,None,2.0,I,2.0,2011-01-05 17:33:02,2011-01-05 17:33:02,None,9.0
270,3,60002,Price Template,825,API,nan,I,nan,2011-03-07 21:17:48,2011-03-07 21:17:48,None,99.0
271,4,700004,AP Invoice Summary,826,API,nan,I,nan,2011-03-07 21:17:48,2011-03-07 21:17:48,None,1.0
272,4,700006,Customer Drilldown,827,API,nan,I,nan,2011-03-07 21:17:48,2011-03-07 21:17:48,None,1.0
273,4,700005,Supplier Drilldown,828,API,nan,I,nan,2011-03-07 21:17:48,2011-03-07 21:17:48,None,1.0
274,4,700008,Sales Order Summary,830,API,nan,I,nan,2011-03-22 20:18:45,2011-03-22 20:18:45,None,1.0
275,20,990405,M. ADD ITEM TO BATCH,867,API,nan,I,nan,2011-09-21 18:43:19,2011-09-21 18:43:19,None,1.0
276,18,3000002,Quick Code Setup,869,None,29.0,I,29.0,2011-09-28 09:58:51,2011-09-28 09:58:51,None,9.0
277,18,3000006,Create Requisition,870,None,29.0,I,29.0,2011-09-28 09:58:51,2011-09-28 09:58:51,None,10.0
278,18,3000007,Fulfill Requisition,871,None,29.0,I,29.0,2011-09-28 09:58:51,2011-09-28 09:58:51,None,11.0
279,20,990304,M. ITEM BY SUBLOCATION,890,None,29.0,I,29.0,2011-10-22 18:08:03,2011-10-22 18:08:03,None,nan
280,20,990406,M. SET PRIMARY SALES,893,API,nan,I,nan,2011-11-02 20:17:10,2011-11-02 20:17:10,None,1.0
281,4,700018,Stock Adjustment Summary,975,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
