,CUR_DELETE,WRITE,READ,CU_USER_ID,CR_RESP_ID,USER_RESP_DESC,USER_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG
65,Y,Y,Y,56,20,None,422,API,29.0,I,29.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
66,Y,Y,Y,56,18,None,423,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
67,Y,Y,Y,56,23,None,424,API,29.0,I,29.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
68,Y,Y,Y,73,20,None,547,None,5.0,I,5.0,2019-09-10 16:21:40,2019-09-10 16:21:40,None
69,Y,Y,Y,68,20,None,530,API,29.0,I,29.0,2019-06-18 09:50:55,2019-06-18 09:50:55,None
70,Y,Y,Y,74,20,None,546,None,5.0,I,5.0,2019-09-10 16:21:01,2019-09-10 16:21:01,None
71,Y,Y,Y,56,7,None,548,None,5.0,I,5.0,2019-09-10 16:26:22,2019-09-10 16:26:22,None
72,Y,Y,Y,66,18,None,549,API,2.0,I,2.0,2019-09-30 11:37:52,2019-09-30 11:37:52,None
73,Y,Y,Y,48,18,None,280,API,2.0,I,2.0,2011-11-23 11:51:41,2011-11-23 11:51:41,None
74,Y,Y,Y,51,20,None,524,None,5.0,I,5.0,2019-01-07 15:46:40,2019-01-07 15:46:40,None
75,Y,Y,Y,24,18,None,132,API,2.0,I,2.0,2011-01-07 11:28:23,2011-01-07 11:28:23,None
76,Y,Y,Y,24,13,None,133,API,2.0,I,2.0,2011-01-07 11:28:23,2011-01-07 11:28:23,None
77,Y,Y,Y,24,12,None,134,API,2.0,I,2.0,2011-01-07 11:28:23,2011-01-07 11:28:23,None
78,Y,Y,Y,24,14,None,135,API,2.0,I,2.0,2011-01-07 11:28:23,2011-01-07 11:28:23,None
79,Y,Y,Y,24,2,None,136,API,2.0,I,2.0,2011-01-07 11:28:23,2011-01-07 11:28:23,None
80,Y,Y,Y,66,13,None,550,API,2.0,I,2.0,2019-09-30 11:37:52,2019-09-30 11:37:52,None
81,Y,Y,Y,48,13,None,281,API,2.0,I,2.0,2011-11-23 11:51:41,2011-11-23 11:51:41,None
82,Y,Y,Y,48,12,None,282,API,2.0,I,2.0,2011-11-23 11:51:41,2011-11-23 11:51:41,None
83,Y,Y,Y,48,14,None,283,API,2.0,I,2.0,2011-11-23 11:51:41,2011-11-23 11:51:41,None
84,Y,Y,Y,48,2,None,284,API,2.0,I,2.0,2011-11-23 11:51:41,2011-11-23 11:51:41,None
85,Y,Y,Y,48,20,None,285,API,29.0,U,5.0,2019-04-21 14:23:19,2011-11-23 11:51:41,None
86,Y,Y,Y,48,4,None,286,API,5.0,I,5.0,2011-11-23 11:51:41,2011-11-23 11:51:41,None
87,Y,Y,Y,66,12,None,551,API,2.0,I,2.0,2019-09-30 11:37:52,2019-09-30 11:37:52,None
88,Y,Y,Y,66,14,None,552,API,2.0,I,2.0,2019-09-30 11:37:52,2019-09-30 11:37:52,None
89,Y,Y,Y,66,2,None,553,API,2.0,I,2.0,2019-09-30 11:37:52,2019-09-30 11:37:52,None
90,Y,Y,Y,66,23,None,554,API,29.0,I,29.0,2019-09-30 11:37:52,2019-09-30 11:37:52,None
91,Y,Y,Y,55,25,None,573,None,29.0,I,29.0,2020-06-18 15:04:14,2020-06-18 15:04:14,None
92,Y,Y,Y,72,25,None,574,None,29.0,I,29.0,2020-07-22 13:44:29,2020-07-22 13:44:29,None
93,Y,Y,Y,5,25,None,575,None,29.0,I,29.0,2020-07-22 13:44:51,2020-07-22 13:44:51,None
94,Y,Y,Y,17,7,None,325,API,2.0,I,2.0,2013-01-24 13:31:49,2013-01-24 13:31:49,None
95,Y,Y,Y,17,5,None,326,API,2.0,I,2.0,2013-01-24 13:31:49,2013-01-24 13:31:49,None
96,Y,Y,Y,17,6,None,327,API,2.0,I,2.0,2013-01-24 13:31:49,2013-01-24 13:31:49,None
97,Y,Y,Y,17,3,None,328,API,2.0,I,2.0,2013-01-24 13:31:49,2013-01-24 13:31:49,None
98,Y,Y,Y,17,4,None,329,API,2.0,I,2.0,2013-01-24 13:31:49,2013-01-24 13:31:49,None
99,Y,Y,Y,17,9,None,330,API,2.0,I,2.0,2013-01-24 13:31:49,2013-01-24 13:31:49,None
100,Y,Y,Y,17,10,None,331,API,2.0,I,2.0,2013-01-24 13:31:49,2013-01-24 13:31:49,None
101,Y,Y,Y,17,20,None,332,API,29.0,I,29.0,2013-01-24 13:31:49,2013-01-24 13:31:49,None
102,Y,Y,Y,1,10,None,1,API,nan,I,nan,2009-12-28 14:25:57,2009-12-28 14:25:57,None
103,Y,Y,Y,1,9,None,2,API,nan,I,nan,2009-12-28 14:25:57,2009-12-28 14:25:57,None
104,Y,Y,Y,2,7,None,3,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
105,Y,Y,Y,2,5,None,4,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
106,Y,Y,Y,2,6,None,5,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
107,Y,Y,Y,2,2,None,6,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
108,Y,Y,Y,2,4,None,7,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
109,Y,Y,Y,2,1,None,8,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
110,Y,Y,Y,2,10,None,9,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
111,Y,Y,Y,2,9,None,10,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
112,Y,Y,Y,2,3,None,11,None,1.0,I,1.0,2009-12-28 16:33:29,2009-12-28 16:33:29,None
113,Y,Y,Y,27,19,None,154,None,5.0,I,5.0,2011-03-25 09:14:40,2011-03-25 09:14:40,None
114,Y,Y,Y,5,7,None,21,None,2.0,I,2.0,2010-11-28 18:40:39,2010-11-28 18:40:39,None
115,Y,Y,Y,5,5,None,22,None,2.0,I,2.0,2010-11-28 18:40:39,2010-11-28 18:40:39,None
116,Y,Y,Y,5,6,None,23,None,2.0,I,2.0,2010-11-28 18:40:39,2010-11-28 18:40:39,None
117,Y,Y,Y,5,3,None,24,None,2.0,I,2.0,2010-11-28 18:40:39,2010-11-28 18:40:39,None
118,Y,Y,Y,5,4,None,25,None,2.0,I,2.0,2010-11-28 18:40:39,2010-11-28 18:40:39,None
119,Y,Y,Y,5,2,None,26,None,2.0,I,2.0,2010-11-28 18:40:39,2010-11-28 18:40:39,None
120,Y,Y,Y,5,9,None,27,None,2.0,I,2.0,2010-11-28 18:40:39,2010-11-28 18:40:39,None
121,Y,Y,Y,5,10,None,28,None,2.0,I,2.0,2010-11-28 18:40:39,2010-11-28 18:40:39,None
