OBJECT_NAME,COLUMN_NAME,DATA_TYPE,DATA_WIDTH,DATA_PRECISION,DEFAULTVAL,NULLABLE,DATASOURCE
AP_INVOICE_HEADERS,DISCOUNT_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GL_ACCOUNT_CODE,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,DESCRIPTION,VARCHAR2,240,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,NOTES2,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,CARRIAGE_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GL_ACCOUNTING_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,LAST_UPDATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,LAST_UPDATE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_ID,NUMBER,10,0,None,False,ORATECHCANNON
AP_INVOICE_HEADERS,BU_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,CREATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,CREATION_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_STATUS_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GL_ACCOUNT_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,FILE_NAME,VARCHAR2,400,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GROSS_TOTAL_FC,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,NET_TOTAL_FC,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,DBNOTE_ID,NUMBER,30,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,TAX_AMOUNT,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,NET_AMOUNT,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,LAST_UPDATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,LAST_UPDATE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,INVOICE_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,INVOICE_AMOUNT_EXL_TAX,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,CASE_SIZE,NUMBER,12,3,None,True,ORATECHCANNON
AP_INVOICE_LINES,UNIT_CP,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,CASE_CP,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,TAX_RATE,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,DISCOUNT_AMOUNT,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,INVOICE_AMOUNT,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,SL_NO,NUMBER,5,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,CARRIAGE_AMOUNT,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,TOTAL_LINE_AMOUNT,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,UNIT,NUMBER,6,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,TAX_CODE_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,QTY_INVOICED_UNITS,NUMBER,13,3,None,True,ORATECHCANNON
AP_INVOICE_LINES,UPDATE_SOURCE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,CANCELLED_AMOUNT,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,CANCELLED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,CANCELLED_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,EXCHANGE_RATE,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,GRN_LINE_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,GRN_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,PO_LINE_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,PO_HEADER_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,DELETE_FLAG,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,BU_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,CREATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,CREATION_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,INVOICE_LINE_STATUS_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,INVOICE_LINE_STATUS,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,GL_ACCOUNT_CODE,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,ITEM_NAME,VARCHAR2,240,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,ITEM_ID,NUMBER,30,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,DESCRIPTION,VARCHAR2,240,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,NOTES1,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,INVOICE_LINE_TYPE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,INVOICE_LINE_ID,NUMBER,10,0,None,False,ORATECHCANNON
AP_INVOICE_LINES,GL_ACCOUNT_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_LINES,TOTAL_LINE_AMOUNT_FC,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,NET_AMOUNT_FC,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,INVOICE_AMOUNT_FC,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_LINES,TAX_LINE_FLAG,VARCHAR2,1,0,'N' ,True,ORATECHCANNON
AP_INVOICE_LINES,DBNOTE_LINE_ID,NUMBER,30,0,None,True,ORATECHCANNON
AP_OPTIONS,BATCH_FORMAT,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_OPTIONS,COMPANY_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,OPTION_TYPE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_OPTIONS,REJECTION_SUB_LOCATION_NAME,VARCHAR2,100,0,None,True,ORATECHCANNON
AP_OPTIONS,GRN_TOLERANCE_PERCENTAGE,NUMBER,12,2,None,True,ORATECHCANNON
AP_OPTIONS,LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,PERIOD_HEADER_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,GRN_TOLERANCE_TYPE,VARCHAR2,20,0,'QUANTITY',True,ORATECHCANNON
AP_OPTIONS,INVOICE_MATCHING_OPTION,VARCHAR2,10,0,None,True,ORATECHCANNON
AP_OPTIONS,PMNT_METHOD_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,CPT_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,PRINT_OUTPUT_PATH,VARCHAR2,240,0,None,True,ORATECHCANNON
AP_OPTIONS,GRN_SYNCHRONISED_ON,DATE,7,0,None,True,ORATECHCANNON
AP_OPTIONS,PO_SYNCHRONISED_ON,DATE,7,0,None,True,ORATECHCANNON
AP_OPTIONS,SHIPTO_LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,BILLTO_LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,PRINTER_COPIES,NUMBER,6,0,None,True,ORATECHCANNON
AP_OPTIONS,PRINTER_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,SUGGESTED_FORMULA_TEXT,VARCHAR2,1000,0,None,True,ORATECHCANNON
AP_OPTIONS,SUGGESTED_QTY_FORMULA,VARCHAR2,100,0,None,True,ORATECHCANNON
AP_OPTIONS,CALCULATE_SUGGESTED_ORDER,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_OPTIONS,ITEMS_RECEIPT_TYPE,VARCHAR2,20,0,None,True,ORATECHCANNON
AP_OPTIONS,COST_PRICE_FORMULA,VARCHAR2,20,0,None,True,ORATECHCANNON
AP_OPTIONS,ADD_OUTSORDER_QTY,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_OPTIONS,GOODS_IN_QTY_TO_ZERO,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_OPTIONS,FOLLOW_UP_PO,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_OPTIONS,SUPPLIER_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,UPDATE_SOURCE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_OPTIONS,RECORD_STATUS,VARCHAR2,1,0,'I',True,ORATECHCANNON
AP_OPTIONS,LAST_UPDATED_BY,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,LAST_UPDATE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_OPTIONS,CREATION_DATE,DATE,7,0,sysdate,True,ORATECHCANNON
AP_OPTIONS,DELETE_FLAG,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_OPTIONS,CREATED_BY,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,BU_ID,VARCHAR2,3,0,None,True,ORATECHCANNON
AP_OPTIONS,AP_OPTIONS_ID,NUMBER,10,0,None,False,ORATECHCANNON
AP_OPTIONS,AUTO_DBN_FROM_GRN,VARCHAR2,1,0,'Y' ,True,ORATECHCANNON
AP_OPTIONS,WHAT_PRICE_TO_GRN,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_OPTIONS,GRN_UNAPPROVED_SUB_LOCATION,VARCHAR2,100,0,None,True,ORATECHCANNON
